Webster	CITY	LOCATION	1
Wells	CITY	LOCATION	1
Wilson	CITY	LOCATION	1
Woodward	CITY	LOCATION	1
Wright	CITY	LOCATION	1
York	CITY	LOCATION	1
Young	CITY	LOCATION	1
Zamora	CITY	LOCATION	1
Rep\.?	TITLE	1
Speaker	TITLE	1
