<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
captain	TITLE	MISC	1
cardinal	TITLE	MISC	1
cardiologist	TITLE	MISC	1
carpenter	TITLE	MISC	1
cartoonist	TITLE	MISC	1
cartographer	TITLE	MISC	1
cashier	TITLE	MISC	1
cellist	TITLE	MISC	1
chancellor	TITLE	MISC	1
chaplain	TITLE	MISC	1
chauffeur	TITLE	MISC	1
chess player	TITLE	MISC	2
chess-player	TITLE	MISC	2
cheesemaker	TITLE	MISC	1
chef	TITLE	MISC	1
chemist	TITLE	MISC	1
chief compliance officer	TITLE	MISC	3
chief-compliance-officer	TITLE	MISC	3
chief engineer	TITLE	MISC	2
chief-engineer	TITLE	MISC	2
chief executive officer	TITLE	MISC	3
chief-executive-officer	TITLE	MISC	3
chief financial officer	TITLE	MISC	3
chief-financial-officer	TITLE	MISC	3
chief information officer	TITLE	MISC	3
chief-information-officer	TITLE	MISC	3
chief technology officer	TITLE	MISC	3
chief-technology-officer	TITLE	MISC	3
chief privacy officer	TITLE	MISC	3
chief-privacy-officer	TITLE	MISC	3
chief of police	TITLE	MISC	3
chief-of-police	TITLE	MISC	3
chimney sweep	TITLE	MISC	2
chimney-sweep	TITLE	MISC	2
chiropodist	TITLE	MISC	1
chiropractor	TITLE	MISC	1
choreographer	TITLE	MISC	1
cinematographer	TITLE	MISC	1
civil servant	TITLE	MISC	2
civil-servant	TITLE	MISC	2
civil engineer	TITLE	MISC	2
civil-engineer	TITLE	MISC	2
clarinetist	TITLE	MISC	1
cleaner	TITLE	MISC	1
clergymen	TITLE	MISC	1
clerk	TITLE	MISC	1
climatologist	TITLE	MISC	1
clockmaker	TITLE	MISC	1
clown	TITLE	MISC	1
coach	TITLE	MISC	1
coachman	TITLE	MISC	1
coast guard	TITLE	MISC	2
coast-guard	TITLE	MISC	2
cobbler	TITLE	MISC	1
columnist	TITLE	MISC	1
comedian	TITLE	MISC	1
company secretary	TITLE	MISC	2
company-secretary	TITLE	MISC	2
compasssmith	TITLE	MISC	1
composer	TITLE	MISC	1
